page_name,page_url,user_id,timestamp
article3,/articles/article3,user10,2025-03-23 14:33:44
article1,/articles/article1,user9,2025-03-23 14:33:44
article5,/articles/article5,user9,2025-03-23 14:33:44
article4,/articles/article4,user9,2025-03-23 14:33:44
article2,/articles/article2,user9,2025-03-23 14:33:44
article5,/articles/article5,user6,2025-03-23 14:33:44
article1,/articles/article1,user6,2025-03-23 14:33:44
article2,/articles/article2,user6,2025-03-23 14:33:44
article4,/articles/article4,user6,2025-03-23 14:33:44
article2,/articles/article2,user7,2025-03-23 14:33:44
article5,/articles/article5,user7,2025-03-23 14:33:44
article4,/articles/article4,user7,2025-03-23 14:33:44
article3,/articles/article3,user7,2025-03-23 14:33:44
register,/register,user7,2025-03-23 14:33:44
article3,/articles/article3,user3,2025-03-23 14:33:44
article1,/articles/article1,user3,2025-03-23 14:33:44
article5,/articles/article5,user3,2025-03-23 14:33:44
register,/register,user3,2025-03-23 14:33:44
article1,/articles/article1,user4,2025-03-23 14:33:44
article5,/articles/article5,user4,2025-03-23 14:33:44
register,/register,user4,2025-03-23 14:33:44
article4,/articles/article4,user5,2025-03-23 14:33:44
article2,/articles/article2,user5,2025-03-23 14:33:44
article3,/articles/article3,user5,2025-03-23 14:33:44
article5,/articles/article5,user2,2025-03-23 14:33:44
article2,/articles/article2,user2,2025-03-23 14:33:44
article4,/articles/article4,user2,2025-03-23 14:33:44
article3,/articles/article3,user2,2025-03-23 14:33:44
register,/register,user2,2025-03-23 14:33:44
article2,/articles/article2,user1,2025-03-23 14:33:44
article4,/articles/article4,user1,2025-03-23 14:33:44
article3,/articles/article3,user1,2025-03-23 14:33:44
article5,/articles/article5,user1,2025-03-23 14:33:44
register,/register,user1,2025-03-23 14:33:44
article2,/articles/article2,user9,2025-03-23 14:33:44
register,/register,user9,2025-03-23 14:33:44
article2,/articles/article2,user9,2025-03-23 14:33:44
article1,/articles/article1,user9,2025-03-23 14:33:44
article4,/articles/article4,user9,2025-03-23 14:33:44
article5,/articles/article5,user4,2025-03-23 14:33:44
article2,/articles/article2,user4,2025-03-23 14:33:44
article5,/articles/article5,user3,2025-03-23 14:33:44
article1,/articles/article1,user3,2025-03-23 14:33:44
article3,/articles/article3,user3,2025-03-23 14:33:44
article2,/articles/article2,user3,2025-03-23 14:33:44
article3,/articles/article3,user1,2025-03-23 14:33:44
article4,/articles/article4,user8,2025-03-23 14:33:44
article5,/articles/article5,user8,2025-03-23 14:33:44
article1,/articles/article1,user8,2025-03-23 14:33:44
register,/register,user8,2025-03-23 14:33:44
article5,/articles/article5,user7,2025-03-23 14:33:44
article3,/articles/article3,user7,2025-03-23 14:33:44
article1,/articles/article1,user3,2025-03-23 14:33:44
article4,/articles/article4,user3,2025-03-23 14:33:44
article1,/articles/article1,user3,2025-03-23 14:33:44
article4,/articles/article4,user2,2025-03-23 14:33:44
article5,/articles/article5,user2,2025-03-23 14:33:44
article4,/articles/article4,user7,2025-03-23 14:33:44
article5,/articles/article5,user7,2025-03-23 14:33:44
article1,/articles/article1,user7,2025-03-23 14:33:44
article2,/articles/article2,user7,2025-03-23 14:33:44
article3,/articles/article3,user8,2025-03-23 14:33:44
article1,/articles/article1,user6,2025-03-23 14:33:44
article4,/articles/article4,user6,2025-03-23 14:33:44
article5,/articles/article5,user6,2025-03-23 14:33:44
register,/register,user6,2025-03-23 14:33:44
article3,/articles/article3,user8,2025-03-23 14:33:44
article4,/articles/article4,user4,2025-03-23 14:33:44
article3,/articles/article3,user4,2025-03-23 14:33:44
article2,/articles/article2,user4,2025-03-23 14:33:44
article5,/articles/article5,user4,2025-03-23 14:33:44
article2,/articles/article2,user1,2025-03-23 14:33:44
article1,/articles/article1,user1,2025-03-23 14:33:44
article3,/articles/article3,user1,2025-03-23 14:33:44
article5,/articles/article5,user8,2025-03-23 14:33:44
article3,/articles/article3,user8,2025-03-23 14:33:44
article2,/articles/article2,user8,2025-03-23 14:33:44
article1,/articles/article1,user6,2025-03-23 14:33:44
article3,/articles/article3,user10,2025-03-23 14:33:44
article5,/articles/article5,user10,2025-03-23 14:33:44
register,/register,user10,2025-03-23 14:33:44
article4,/articles/article4,user10,2025-03-23 14:33:44
article3,/articles/article3,user10,2025-03-23 14:33:44
article5,/articles/article5,user10,2025-03-23 14:33:44
article2,/articles/article2,user10,2025-03-23 14:33:44
article3,/articles/article3,user4,2025-03-23 14:33:44
article1,/articles/article1,user4,2025-03-23 14:33:44
article4,/articles/article4,user4,2025-03-23 14:33:44
article5,/articles/article5,user4,2025-03-23 14:33:44
article1,/articles/article1,user4,2025-03-23 14:33:44
article2,/articles/article2,user4,2025-03-23 14:33:44
article4,/articles/article4,user1,2025-03-23 14:33:44
article4,/articles/article4,user4,2025-03-23 14:33:44
article2,/articles/article2,user4,2025-03-23 14:33:44
article5,/articles/article5,user4,2025-03-23 14:33:44
article3,/articles/article3,user4,2025-03-23 14:33:44
article2,/articles/article2,user4,2025-03-23 14:33:44
article4,/articles/article4,user4,2025-03-23 14:33:44
article5,/articles/article5,user8,2025-03-23 14:33:44
article2,/articles/article2,user8,2025-03-23 14:33:44
article1,/articles/article1,user8,2025-03-23 14:33:44
article4,/articles/article4,user8,2025-03-23 14:33:44
article2,/articles/article2,user6,2025-03-23 14:33:44
article5,/articles/article5,user6,2025-03-23 14:33:44
article4,/articles/article4,user10,2025-03-23 14:33:44
article5,/articles/article5,user10,2025-03-23 14:33:44
article2,/articles/article2,user8,2025-03-23 14:33:44
article4,/articles/article4,user8,2025-03-23 14:33:44
article1,/articles/article1,user8,2025-03-23 14:33:44
article3,/articles/article3,user8,2025-03-23 14:33:44
article5,/articles/article5,user9,2025-03-23 14:33:44
article4,/articles/article4,user9,2025-03-23 14:33:44
article5,/articles/article5,user6,2025-03-23 14:33:44
article4,/articles/article4,user6,2025-03-23 14:33:44
article1,/articles/article1,user6,2025-03-23 14:33:44
article5,/articles/article5,user7,2025-03-23 14:33:44
article3,/articles/article3,user7,2025-03-23 14:33:44
article2,/articles/article2,user7,2025-03-23 14:33:44
article1,/articles/article1,user5,2025-03-23 14:33:44
register,/register,user5,2025-03-23 14:33:44
article3,/articles/article3,user6,2025-03-23 14:33:44
article4,/articles/article4,user6,2025-03-23 14:33:44
article1,/articles/article1,user6,2025-03-23 14:33:44
article2,/articles/article2,user6,2025-03-23 14:33:44
article3,/articles/article3,user3,2025-03-23 14:33:44
article4,/articles/article4,user3,2025-03-23 14:33:44
article2,/articles/article2,user3,2025-03-23 14:33:44
article5,/articles/article5,user3,2025-03-23 14:33:44
article1,/articles/article1,user3,2025-03-23 14:33:44
article4,/articles/article4,user3,2025-03-23 14:33:44
article1,/articles/article1,user10,2025-03-23 14:33:44
article2,/articles/article2,user5,2025-03-23 14:33:44
article3,/articles/article3,user5,2025-03-23 14:33:44
article5,/articles/article5,user5,2025-03-23 14:33:44
article1,/articles/article1,user5,2025-03-23 14:33:44
article3,/articles/article3,user9,2025-03-23 14:33:44
article2,/articles/article2,user9,2025-03-23 14:33:44
article5,/articles/article5,user6,2025-03-23 14:33:44
article1,/articles/article1,user6,2025-03-23 14:33:44
article2,/articles/article2,user6,2025-03-23 14:33:44
article3,/articles/article3,user6,2025-03-23 14:33:44
article5,/articles/article5,user6,2025-03-23 14:33:44
